Designator,Mid X,Mid Y,Rotation,Layer
A1,177.292,-56.134,90.0,top
BACK,153.85,-89.5,0.0,top
BZ1,149.0,-47.25,270.0,top
D1,146.78,-59.25,0.0,top
D2,146.77,-57.0,0.0,top
DOWN,171.85,-89.5,0.0,top
J1,111.092,-85.056,270.0,top
MENU,153.85,-74.5,0.0,top
NEXT,190.15,-89.5,0.0,top
OK,190.1,-74.5,0.0,top
R1,135.49,-82.0,0.0,top
R2,149.26,-57.0,0.0,top
R3,149.27,-59.25,0.0,top
R7,135.49,-85.0,0.0,top
R8,135.51,-88.0,180.0,top
U1,124.0,-43.45,0.0,top
U2,126.06,-85.0,0.0,top
UP,171.85,-74.5,0.0,top
